,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,CountDeclInstanceMethod,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Del_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,1,1,1,1,5,0,33,2,0,0,0.26,0,4,87,6,1,16,2,4.11111111111111,2,1.5,2,1,0.75,0,1,1.0,0,4,3
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,0,0,1,0,2,0,36,5,0,8,0.25,0,9,71,3,0,9,2,1.3,1,5.45454545454545,1,1,0.764705882352941,0,39,0.833333333333333,0,1,4
603,3,2,2,0,1,2,86,3,1,4,0.28,1,15,62,1,0,1,2,3.4375,0,8.125,1,1,1.45,0,34,0.666666666666667,0,5,8
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,0,0,1,138,387,1,555,1,2,4,0.14,0,8,99,1,0,94,2,4.66835443037975,1,4.31645569620253,1,1,0.05,0,8702,0.666666666666667,0,2,1
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,6,3,1,1,27,0,39,8,3,6,0.13,0,21,89,3,0,19,2,6.60416666666667,1,1.3,2,1,0.385964912280702,0,56,0.75,0,6,0
640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,3,0,1,1,0,0,53,2,0,4,0.28,1,18,77,3,0,25,2,6.22727272727273,0,5.40909090909091,1,1,0.48,0,69,0.727272727272727,0,3,0
696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,153,20,2,9,44,0,403,7,3,15,0.07,0,521,100,3,0,49,2,5.50619469026549,0,6.04424778761062,1,0,0.830715532286213,0,1,0.346938775510204,4,2,0
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
